Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 1,"Ray Sheldon, Jr.", ,3103,34.3632,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 1,Malory L. Simpson, ,5862,64.9169,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 1,WRITE-IN, ,65,0.7198,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 3,Barbara Alfond, ,3964,43.719,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 3,Mark Tomas, ,5054,55.7406,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 3,WRITE-IN, ,49,0.5404,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 4,Craig Hereth, ,5431,59.9448,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 4,Ricky McCaig, ,3587,39.5916,School
MARYSVILLE SCHOOL DISTRICT NO. 25 Director District 4,WRITE-IN, ,42,0.4636,School
MONROE SCHOOL DISTRICT NO. 103 Director District 3,Molly Barnes, ,3362,57.0411,School
MONROE SCHOOL DISTRICT NO. 103 Director District 3,Heather Young, ,2509,42.5687,School
MONROE SCHOOL DISTRICT NO. 103 Director District 3,WRITE-IN, ,23,0.3902,School
MONROE SCHOOL DISTRICT NO. 103 Director District 4,James Etzkorn, ,4419,98.7486,School
MONROE SCHOOL DISTRICT NO. 103 Director District 4,WRITE-IN, ,56,1.2514,School
MUKILTEO SCHOOL DISTRICT NO. 6 Director District 2,Karl Hausmann, ,9258,98.3847,School
MUKILTEO SCHOOL DISTRICT NO. 6 Director District 2,WRITE-IN, ,152,1.6153,School
MUKILTEO SCHOOL DISTRICT NO. 6 Director District 4,Charles Hauck, ,8295,96.0403,School
MUKILTEO SCHOOL DISTRICT NO. 6 Director District 4,WRITE-IN, ,342,3.9597,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1,Carson Sanderson, ,4798,66.0973,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1,Arun Sharma, ,2392,32.9522,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1,WRITE-IN, ,69,0.9505,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4,Sandy R Hayes, ,5152,69.2939,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4,JoAnn Tolentino, ,2264,30.4506,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4,WRITE-IN, ,19,0.2555,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5,Kimberlee Kelly, ,5246,70.5962,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5,Lynda Schram, ,2167,29.1616,School
NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5,WRITE-IN, ,18,0.2422,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 1,Shaunna Ballas, ,7477,97.3061,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 1,WRITE-IN, ,207,2.6939,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 3,Josh Seek, ,7355,97.5982,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 3,WRITE-IN, ,181,2.4018,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 5,Jay Hagen, ,4242,43.5345,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 5,Sarah Adams, ,5465,56.0858,School
SNOHOMISH SCHOOL DISTRICT NO. 201 Director District 5,WRITE-IN, ,37,0.3797,School
STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Director District 1,Hans Hendricksen, ,1277,36.7694,School
STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Director District 1,John W. Russell, ,2183,62.8563,School
STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Director District 1,WRITE-IN, ,13,0.3743,School
STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Director District 2,Charlotte Murry, ,2649,92.5577,School
STANWOOD-CAMANO SCHOOL DISTRICT NO. 401 Director District 2,WRITE-IN, ,213,7.4423,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 1,Isaac Hudy, ,1545,97.231,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 1,WRITE-IN, ,44,2.769,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 2,Robert Amenn, ,653,33.7293,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 2,Mike Varnell, ,1257,64.9277,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 2,WRITE-IN, ,26,1.343,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 3,Michael Butler, ,1404,95.4453,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 3,WRITE-IN, ,67,4.5547,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 5,Gigi Gouldner, ,1548,96.4486,School
SULTAN SCHOOL DISTRICT NO. 311 Director District 5,WRITE-IN, ,57,3.5514,School
FIRE DISTRICT 4 Commissioner Position 1,Richard Flath, ,2873,50.6166,Fire
FIRE DISTRICT 4 Commissioner Position 1,Evan Merritt, ,2795,49.2424,Fire
FIRE DISTRICT 4 Commissioner Position 1,WRITE-IN, ,8,0.1409,Fire
FIRE DISTRICT 5 Commissioner Position 1,Steve Fox, ,1111,97.5417,Fire
FIRE DISTRICT 5 Commissioner Position 1,WRITE-IN, ,28,2.4583,Fire
FIRE DISTRICT 10 Commissioner Position 1,Dennis Butterfield, ,1083,99.1758,Fire
FIRE DISTRICT 10 Commissioner Position 1,WRITE-IN, ,9,0.8242,Fire
FIRE DISTRICT 12 Commissioner Position 1,Rick Ross, ,1622,96.3183,Fire
FIRE DISTRICT 12 Commissioner Position 1,WRITE-IN, ,62,3.6817,Fire
FIRE DISTRICT 15 Commissioner Position 1,Ryan Hudson, ,557,98.5841,Fire
FIRE DISTRICT 15 Commissioner Position 1,WRITE-IN, ,8,1.4159,Fire
FIRE DISTRICT 16 Commissioner Position 1,Martin L. Inman, ,395,98.2587,Fire
FIRE DISTRICT 16 Commissioner Position 1,WRITE-IN, ,7,1.7413,Fire
FIRE DISTRICT 17 Commissioner Position 1,John Jamieson, ,1579,98.3801,Fire
FIRE DISTRICT 17 Commissioner Position 1,WRITE-IN, ,26,1.6199,Fire
FIRE DISTRICT 19 Commissioner Position 1,John Engels, ,420,97.2222,Fire
FIRE DISTRICT 19 Commissioner Position 1,WRITE-IN, ,12,2.7778,Fire
FIRE DISTRICT 21 Commissioner Position 1,Eric Nordstrom, ,1075,98.1735,Fire
FIRE DISTRICT 21 Commissioner Position 1,WRITE-IN, ,20,1.8265,Fire
FIRE DISTRICT 22 Commissioner Position 1,Chris Greig, ,733,97.2149,Fire
FIRE DISTRICT 22 Commissioner Position 1,WRITE-IN, ,21,2.7851,Fire
FIRE DISTRICT 24 Commissioner Position 1,Mikey Coleman, ,399,97.555,Fire
FIRE DISTRICT 24 Commissioner Position 1,WRITE-IN, ,10,2.445,Fire
FIRE DISTRICT 24 Commissioner Position 4,Kristine Schroder, ,359,95.7333,Fire
FIRE DISTRICT 24 Commissioner Position 4,WRITE-IN, ,16,4.2667,Fire
FIRE DISTRICT 25 Commissioner Position 1,Gary Moffett, ,78,44.5714,Fire
FIRE DISTRICT 25 Commissioner Position 1,Steve Ramey, ,97,55.4286,Fire
FIRE DISTRICT 25 Commissioner Position 1,WRITE-IN, ,0,0,Fire
FIRE DISTRICT 26 Commissioner Position 1,Douglas Rupp, ,487,98.783,Fire
FIRE DISTRICT 26 Commissioner Position 1,WRITE-IN, ,6,1.217,Fire
FIRE DISTRICT 26 Commissioner Position 5,Kate Hayes, ,485,98.778,Fire
FIRE DISTRICT 26 Commissioner Position 5,WRITE-IN, ,6,1.222,Fire
FIRE DISTRICT 27 Commissioner Position 1,Daniel Rike, ,46,95.8333,Fire
FIRE DISTRICT 27 Commissioner Position 1,WRITE-IN, ,2,4.1667,Fire
FIRE DISTRICT 27 Commissioner Position 2,Chuck Thurman, ,39,92.8571,Fire
FIRE DISTRICT 27 Commissioner Position 2,WRITE-IN, ,3,7.1429,Fire
FIRE DISTRICT 27 Proposition No. 1,Approved, ,19,32.7586,Fire
FIRE DISTRICT 27 Proposition No. 1,Rejected, ,39,67.2414,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 1,Greg Oakes, ,5634,83.0973,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 1,Mary Elizabeth Foster, ,1127,16.6224,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 1,WRITE-IN, ,19,0.2802,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 3,Brandon Schmitt, ,4271,64.0618,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 3,Albert R. Schreiber, ,2369,35.5332,Fire
NORTH COUNTY REGIONAL FIRE AUTHORITY Commissioner District 3,WRITE-IN, ,27,0.405,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 1,Roy Waugh, ,14918,98.9454,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 1,WRITE-IN, ,159,1.0546,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 4,Rick Edwards, ,14877,98.9623,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 4,WRITE-IN, ,156,1.0377,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6,Davin Alsin, ,11291,63.1664,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6,Seth Henderson, ,6503,36.3804,Fire
SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6,WRITE-IN, ,81,0.4531,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 1,Harmony Crawford, ,13693,34.8911,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 1,Joseph Wankelman, ,25457,64.8669,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 1,WRITE-IN, ,95,0.2421,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 3,Mark Laurence, ,32930,98.7495,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 3,WRITE-IN, ,417,1.2505,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 5,Zoe Pilgrim-Placey, ,7013,18.0794,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 5,Jim Kenny, ,31652,81.5984,Fire
SOUTH SNO. CO. FIRE &amp; RESCUE RFA Commissioner District 5,WRITE-IN, ,125,0.3222,Fire
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 1,Paul (Mac) McIntyre, ,22432,98.9895,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 1,WRITE-IN, ,229,1.0105,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 2,Pat Peck, ,22466,99.0477,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 2,WRITE-IN, ,216,0.9523,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 5,Dean Lotz, ,15662,60.6631,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 5,John Reno, ,10052,38.9341,Water
ALDERWOOD WATER &amp; WASTEWATER DISTRICT Commissioner Position 5,WRITE-IN, ,104,0.4028,Water
CROSS VALLEY WATER DISTRICT Commissioner Position 1,Dave Hutley, ,2897,98.6045,Water
CROSS VALLEY WATER DISTRICT Commissioner Position 1,WRITE-IN, ,41,1.3955,Water
HIGHLAND WATER DISTRICT Commissioner Position 3,Dana L. Jorden, ,641,97.2686,Water
HIGHLAND WATER DISTRICT Commissioner Position 3,WRITE-IN, ,18,2.7314,Water
MUKILTEO WATER AND WASTEWATER DISTRICT Commissioner Position 1,Jeff Clarke, ,2670,98.5604,Water
MUKILTEO WATER AND WASTEWATER DISTRICT Commissioner Position 1,WRITE-IN, ,39,1.4396,Water
OLYMPIC VIEW WATER DISTRICT Commissioner Position 1,Lora Petso, ,2588,98.3656,Water
OLYMPIC VIEW WATER DISTRICT Commissioner Position 1,WRITE-IN, ,43,1.6344,Water
SILVER LAKE WATER &amp; SEWER DISTRICT Commissioner Position 1,Shauna Willner, ,5736,98.5059,Water
SILVER LAKE WATER &amp; SEWER DISTRICT Commissioner Position 1,WRITE-IN, ,87,1.4941,Water
STARTUP WATER DISTRICT Commissioner Position 1,Kate Roesler, ,66,91.6667,Water
STARTUP WATER DISTRICT Commissioner Position 1,WRITE-IN, ,6,8.3333,Water
LAKE STEVENS SEWER DISTRICT Commissioner Position 1,Dan Lorentzen, ,3795,98.2651,Water
LAKE STEVENS SEWER DISTRICT Commissioner Position 1,WRITE-IN, ,67,1.7349,Water
HOSPITAL DISTRICT 1 Commissioner-at-Large 2,Karen Wendy Gahm, ,13602,98.5152,Hospital
HOSPITAL DISTRICT 1 Commissioner-at-Large 2,WRITE-IN, ,205,1.4848,Hospital
HOSPITAL DISTRICT 1 Commissioner-at-Large 5,Dianne Forth, ,5383,31.2783,Hospital
HOSPITAL DISTRICT 1 Commissioner-at-Large 5,Judith Kuleta, ,11749,68.2684,Hospital
HOSPITAL DISTRICT 1 Commissioner-at-Large 5,WRITE-IN, ,78,0.4532,Hospital
HOSPITAL DISTRICT 2 Commissioner Position 3,Bob Knowles, ,24235,98.9143,Hospital
HOSPITAL DISTRICT 2 Commissioner Position 3,WRITE-IN, ,266,1.0857,Hospital
HOSPITAL DISTRICT 3 Commissioner Position 1,Kathryn Lewandowsky, ,2141,42.2955,Hospital
HOSPITAL DISTRICT 3 Commissioner Position 1,John V. Meno, ,2909,57.4674,Hospital
HOSPITAL DISTRICT 3 Commissioner Position 1,WRITE-IN, ,12,0.2371,Hospital
PORT OF EDMONDS Commissioner District 1,Janelle Cass, ,3676,57.0807,Port
PORT OF EDMONDS Commissioner District 1,Chelsea Rudd, ,2748,42.6708,Port
PORT OF EDMONDS Commissioner District 1,WRITE-IN, ,16,0.2484,Port
PORT OF EDMONDS Commissioner District 3,Jay Grant, ,4935,98.779,Port
PORT OF EDMONDS Commissioner District 3,WRITE-IN, ,61,1.221,Port
PORT OF EDMONDS Commissioner-at-Large Position 5,Ross Dimmick, ,4850,99.1617,Port
PORT OF EDMONDS Commissioner-at-Large Position 5,WRITE-IN, ,41,0.8383,Port
PORT OF EVERETT Commissioner District 3,Glen Bachman, ,11410,97.9567,Port
PORT OF EVERETT Commissioner District 3,WRITE-IN, ,238,2.0433,Port
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 1,Derek Wyszynski, ,3972,97.8566,Park and Recreation
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 1,WRITE-IN, ,87,2.1434,Park and Recreation
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 4,Michael Duncan, ,3979,98.1742,Park and Recreation
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 4,WRITE-IN, ,74,1.8258,Park and Recreation
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 5,Tyler Poling, ,4058,98.2805,Park and Recreation
EAST COUNTY PARK AND RECREATION Commissioner-at-Large Position 5,WRITE-IN, ,71,1.7195,Park and Recreation
NORTHSHORE PARK &amp; RECREATION SERVICE AREA Proposition No. 1,Yes, ,5225,68.6416,Park and Recreation
NORTHSHORE PARK &amp; RECREATION SERVICE AREA Proposition No. 1,No, ,2387,31.3584,Park and Recreation
