contest,candidate,name,votes
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  1,81
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  2,54
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  1,121
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  2,91
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  3,80
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  4,98
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  6,128
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  4,78
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 1,66
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 2,127
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  3,150
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  9,50
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 11,173
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  7,117
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  8,141
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GRANITE FALLS 1,117
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GRANITE FALLS 2,106
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  5,184
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE  5,209
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 10,107
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 13,137
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 15,164
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 16,146
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 17,164
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 18,128
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 19,219
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  6,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  7,138
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 20,131
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 3,136
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  8,171
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 21,142
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 22,174
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 23,82
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 24,137
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 26,160
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON  9,76
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 10,70
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 27,136
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 28,109
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 11,80
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 14,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 12,78
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,DARRINGTON,123
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 4,225
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 13,145
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 25,66
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 29,63
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 14,140
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 5,144
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GRANITE FALLS 3,75
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 12,153
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 30,141
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 31,82
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 32,122
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 33,0
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 15,117
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 16,95
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 34,110
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 6,125
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 7,87
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 35,127
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 36,105
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 37,130
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 38,106
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 39,109
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 40,136
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 41,81
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 42,130
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 43,151
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 44,81
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 45,142
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 46,180
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 47,163
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 48,121
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 49,122
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 50,135
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 51,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 52,81
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 53,100
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 54,92
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 55,85
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 17,1
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 18,12
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 56,153
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 57,45
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 58,70
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 59,77
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 60,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GRANITE FALLS 4,29
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 61,86
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 19,77
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 62,83
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 63,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 64,63
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 65,107
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 20,127
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 66,112
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 67,45
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 21,0
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 68,79
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 69,0
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 70,101
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 71,29
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 22,94
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 24,25
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 23,78
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 72,69
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MARYSVILLE 73,73
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARLINGTON 25,33
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GRANITE FALLS 5,43
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANWOOD 8,75
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,FLORENCE,32
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,PORT SUSAN,231
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,NORDEN,61
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,TRAFTON,52
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,BOULDER,86
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,PACKWOOD,84
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,BRYANT,39
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,CEDARHOME,151
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,EDGECOMB,60
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,CLIFF,129
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARMSTRONG,106
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GREGORY,82
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STANBY,35
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HARTFORD,51
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HAZEL,120
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ROBE,60
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SILVANA,84
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LOCHSLOY,124
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SUNNYSIDE,29
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,JIM CREEK,103
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,OUTLOOK,84
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,OSO,92
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LAKEWOOD,120
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,NEWBERG,105
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,VILLAGE,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LAKE GOODWIN,138
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ALMA,16
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LOMA,149
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SAUK,68
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,BURN HILL,61
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SISCO,113
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,PILCHUCK,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,KACKMAN,87
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,RAILROAD,45
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ROWLAND,103
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SLEEPY HOLLOW,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,THOMPSON,170
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,TIMBER,0
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,TRONSON,120
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,WATERS,197
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,WILLOW,111
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HEIGHTS,100
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MCRAE,115
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,RONCREST,48
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STRAUS,160
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LOOP,55
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GETCHELL,85
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,PORTAGE,57
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SPADA,2
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HAPPY VALLEY,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MENZEL,96
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SHOECRAFT,201
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,WENBERG,153
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STILLAGUAMISH,25
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,LAKE HOWARD,150
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,JORDAN TRAILS,39
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,PILOT,65
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ARNOT,66
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,BOSWORTH,65
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,CASSIDY,104
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,FIRTREE,57
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HUCKLEBERRY,49
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MCDONALD,105
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SANDMAN,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,TRANGEN,93
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,AIRPARK,100
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,JORDAN BRIDGE,34
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,KAYAK,149
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,HENNING,177
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MCFARLAND,107
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SILVANA TERRACE,71
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,STAR CREEK,74
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,KETCHUM,152
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,ROSE,115
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SUNDAY LAKE,207
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,NORTH FORK,48
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,SOUTH LAKE GOODWIN,80
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,TREE FARM,79
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,GLENMORE,66
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MCELROY,39
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,BURN,41
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,EAGLE,14
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,MCPHERSON,11
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,FINN,77
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,CANYON CREEK,43
COUNTY COUNCIL DISTRICT 1 Council District 1,Nate Nehring,FREEDOM,80
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  1,166
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  2,125
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  3,134
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  5,150
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  6,131
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  7,72
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  8,127
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  9,116
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 10,197
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 11,128
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 12,164
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 13,186
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 14,171
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 15,124
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 1,126
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 2,127
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 3,135
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 17,180
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 18,153
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 19,176
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 4,129
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 5,132
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  1,141
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  2,97
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  3,70
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  4,137
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 6,115
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 7,102
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  5,183
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  6,116
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  7,7
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  8,150
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK  9,157
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE  4,129
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 10,80
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 11,91
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 12,68
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 13,84
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 31,160
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 32,107
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 33,152
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 34,187
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 35,110
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 36,125
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 37,153
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 38,139
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 39,114
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 40,161
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 41,166
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 42,165
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 43,140
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 44,107
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 45,84
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 46,164
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BRIER 8,71
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 14,0
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 16,117
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 15,106
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 47,134
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 16,79
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 17,102
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 18,96
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 19,91
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 20,91
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 21,66
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 22,57
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 23,103
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 20,46
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MOUNTLAKE TERRACE 21,132
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BOTHELL 48,98
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MILL CREEK 24,49
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,FERNWOOD,136
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,NORTH CREEK,127
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,LOCUST,113
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,WILLOWDALE,34
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,HUNT,0
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MERIDIAN,129
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,VINE,110
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,ELWOOD,127
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,FREEWAY,107
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,RAINIER,55
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,ATLAS,164
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,QUEENS,68
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,WAXON,125
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,GRANNIS,130
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,SUNSET,88
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,BROOK,145
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,CLOVER,111
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,COUNTRY,76
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,CRYSTAL,127
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,HILL,87
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,KENTISH,73
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,LARIMER,56
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MISTY,96
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,OAKS,93
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,PUGET PARK,76
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,THRASHERS,37
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,VIEW,98
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,WALNUT,78
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,WITHERS,102
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,KENWOOD,119
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,OLYMPUS,73
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,SEATTLE HILL,111
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,CAVALRY,106
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,EVERGREEN,80
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,MAPLEWOOD,109
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,DAMSON,179
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,FOREST,139
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,NORTHROAD,40
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,PARKSHORE,90
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,RHODY RIDGE,71
COUNTY COUNCIL DISTRICT 4 Council District 4,Jared Mead,STAFFORD,105
